team,player,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Sporting KC,Logan Ndenbe,BEL,DF,22,2000,21,18,1536,17.1,0,1,1,0,0,0,2,0,0.3,0.3,1.1,1.3,74,96,112,0.0,0.06,0.06,0.0,0.06,0.02,0.06,0.08,0.02,0.08
Sporting KC,Marinos Tzionis,CYP,"FW,MF",21,2001,21,6,725,8.1,0,1,1,0,0,0,0,0,1.0,1.0,0.2,1.2,21,26,75,0.0,0.12,0.12,0.0,0.12,0.13,0.03,0.15,0.13,0.15
Sporting KC,Nemanja Radoja,SRB,MF,29,1993,25,21,1713,19.0,0,2,2,0,0,0,4,0,0.8,0.8,0.7,1.5,14,105,14,0.0,0.11,0.11,0.0,0.11,0.04,0.04,0.08,0.04,0.08
Sporting KC,Robert Castellanos,USA,DF,24,1998,12,7,701,7.8,1,0,1,1,0,0,1,1,0.3,0.3,0.0,0.3,0,15,1,0.13,0.0,0.13,0.13,0.13,0.04,0.0,0.04,0.04,0.04
Sporting KC,Robert Voloder,BIH,DF,21,2001,14,11,1030,11.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,18,33,11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Sporting KC,Roger Espinoza,HON,MF,36,1986,22,7,728,8.1,0,2,2,0,0,0,3,0,0.6,0.6,1.4,2.0,17,54,39,0.0,0.25,0.25,0.0,0.25,0.08,0.18,0.25,0.08,0.25
Sporting KC,Rémi Walter,FRA,MF,27,1995,33,29,2737,30.4,2,2,4,2,0,0,2,0,1.8,1.8,0.8,2.7,32,158,50,0.07,0.07,0.13,0.07,0.13,0.06,0.03,0.09,0.06,0.09
Sporting KC,Stephen Afrifa,CAN,FW,21,2001,3,1,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting KC,Tim Leibold,GER,DF,29,1993,17,9,872,9.7,0,2,2,0,0,0,2,0,0.4,0.4,1.2,1.5,35,64,68,0.0,0.21,0.21,0.0,0.21,0.04,0.12,0.16,0.04,0.16
Sporting KC,Tim Melia,USA,GK,36,1986,16,16,1418,15.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting KC,William Agada,NGA,FW,23,1999,14,7,688,7.6,3,0,3,3,0,0,1,0,3.0,2.9,0.6,3.6,10,11,48,0.39,0.0,0.39,0.39,0.39,0.4,0.08,0.48,0.39,0.47
St. Louis,Akil Watts,USA,"DF,MF",22,2000,18,11,880,9.8,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,17,32,27,0.0,0.1,0.1,0.0,0.1,0.01,0.07,0.08,0.01,0.08
St. Louis,Anthony Markanich,USA,DF,23,1999,10,7,656,7.3,1,0,1,1,0,0,4,0,0.3,0.3,1.4,1.7,16,18,18,0.14,0.0,0.14,0.14,0.14,0.04,0.19,0.24,0.04,0.24
St. Louis,Aziel Jackson,USA,"MF,FW",21,2001,25,12,1119,12.4,1,4,5,1,0,0,3,0,1.8,1.8,2.1,4.0,28,55,69,0.08,0.32,0.4,0.08,0.4,0.15,0.17,0.32,0.15,0.32
St. Louis,Benjamin Lundt,GER,GK,27,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Louis,Caden Glover,USA,MF,15,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Louis,Célio Pompeu,BRA,"FW,MF",23,1999,26,9,975,10.8,1,0,1,1,0,0,2,0,1.9,1.9,1.5,3.4,59,25,88,0.09,0.0,0.09,0.09,0.09,0.18,0.14,0.32,0.18,0.32
St. Louis,Eduard Löwen,GER,MF,26,1997,29,25,2308,25.6,6,9,15,3,3,3,3,0,5.3,2.9,3.7,6.7,76,199,100,0.23,0.35,0.58,0.12,0.47,0.21,0.14,0.35,0.11,0.26
St. Louis,Indiana Vassilev,USA,MF,21,2001,34,25,2112,23.5,2,4,6,2,0,0,2,0,2.2,2.2,2.6,4.8,49,89,71,0.09,0.17,0.26,0.09,0.26,0.09,0.11,0.2,0.09,0.2
St. Louis,Isak Jensen,DEN,"MF,FW",19,2003,11,0,144,1.6,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,10,5,5,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.25,0.23,0.25
St. Louis,Jake Nerwinski,USA,DF,28,1994,29,25,2211,24.6,0,2,2,0,0,0,5,1,0.1,0.1,1.1,1.2,31,104,55,0.0,0.08,0.08,0.0,0.08,0.0,0.04,0.05,0.0,0.05
St. Louis,Jared Stroud,USA,"MF,FW",26,1996,31,25,1971,21.9,5,5,10,5,0,0,8,0,4.1,4.1,2.0,6.1,50,50,143,0.23,0.23,0.46,0.23,0.46,0.19,0.09,0.28,0.19,0.28
St. Louis,Joakim Nilsson,SWE,DF,28,1994,8,7,593,6.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Louis,John Klein,USA,MF,23,1999,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Louis,John Nelson,USA,DF,24,1998,17,14,1266,14.1,0,0,0,0,0,0,2,1,0.4,0.4,0.6,1.0,14,52,55,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07
St. Louis,Jon Bell,JAM,DF,25,1997,3,2,142,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Louis,Joshua Yaro,GHA,DF,28,1994,16,9,907,10.1,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
St. Louis,Klauss,BRA,FW,25,1997,19,14,1315,14.6,10,2,12,10,0,0,1,0,5.8,5.8,0.7,6.6,15,38,94,0.68,0.14,0.82,0.68,0.82,0.4,0.05,0.45,0.4,0.45
St. Louis,Kyle Hiebert,CAN,DF,25,1997,27,24,2128,23.6,2,0,2,2,0,0,6,1,1.2,1.2,0.2,1.4,14,79,19,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06
St. Louis,Lucas Bartlett,USA,DF,25,1997,14,12,1067,11.9,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.2,5,36,3,0.0,0.08,0.08,0.0,0.08,0.06,0.04,0.1,0.06,0.1
St. Louis,Miguel Perez,USA,MF,17,2005,15,7,610,6.8,1,0,1,1,0,0,2,0,1.2,1.2,0.5,1.7,4,29,12,0.15,0.0,0.15,0.15,0.15,0.18,0.08,0.26,0.18,0.26
St. Louis,Nicholas Gioacchini,USA,"FW,MF",22,2000,32,24,2095,23.3,10,1,11,9,1,1,2,0,7.5,6.7,2.7,9.4,24,46,144,0.43,0.04,0.47,0.39,0.43,0.32,0.12,0.44,0.29,0.4
St. Louis,Njabulo Blom,RSA,MF,23,1999,26,21,1915,21.3,1,0,1,1,0,0,6,0,0.4,0.4,0.3,0.7,8,81,17,0.05,0.0,0.05,0.05,0.05,0.02,0.02,0.03,0.02,0.03
St. Louis,Nökkvi Þórisson,ISL,"FW,MF",23,1999,9,1,268,3.0,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.4,7,5,16,0.34,0.0,0.34,0.34,0.34,0.11,0.01,0.12,0.11,0.12
St. Louis,Rasmus Alm,SWE,"MF,FW",27,1995,21,13,1096,12.2,3,2,5,3,0,0,4,0,1.7,1.7,3.2,4.9,20,25,81,0.25,0.16,0.41,0.25,0.41,0.14,0.26,0.41,0.14,0.41
St. Louis,Roman Bürki,SUI,GK,32,1990,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
St. Louis,Samuel Adeniran,USA,FW,24,1998,18,11,949,10.5,8,1,9,7,1,1,3,1,3.9,3.1,1.3,4.4,32,12,46,0.76,0.09,0.85,0.66,0.76,0.37,0.12,0.49,0.29,0.42
St. Louis,Selmir Pidro,BIH,DF,24,1998,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44
St. Louis,Tim Parker,USA,DF,29,1993,29,29,2565,28.5,4,0,4,4,0,0,10,0,1.5,1.5,0.0,1.5,4,75,3,0.14,0.0,0.14,0.14,0.14,0.05,0.0,0.05,0.05,0.05
