player_url,fifa_version,short_name,long_name,Team,league_name,nationality_name,alpha_3_code,picture_url,local_image_path
https://sofifa.com/player/209238/jean-mota-oliveira-de-sousa/240002,24.0,Jean Mota,Jean Mota Oliveira de Sousa,Inter Miami,Major League Soccer,Brazil,BRA,https://cdn.sofifa.net/players/209/238/24_360.png,plotly-dash/assets/playersImage/Jean_Mota_Inter_Miami_C.F..png
https://sofifa.com/player/213209/kellyn-acosta/240002,24.0,K. Acosta,Kellyn Kai Perry-Acosta,LAFC,Major League Soccer,United States,USA,https://cdn.sofifa.net/players/213/209/24_360.png,plotly-dash/assets/playersImage/Kellyn_Acosta_LAFC.png
https://sofifa.com/player/226273/sean-davis/240002,24.0,S. Davis,Sean Davis,Nashville SC,Major League Soccer,United States,USA,https://cdn.sofifa.net/players/226/273/24_360.png,plotly-dash/assets/playersImage/Sean_Davis_Nashville_SC.png
https://sofifa.com/player/236281/franco-negri/240002,24.0,F. Negri,Franco Negri,Inter Miami,Major League Soccer,Argentina,ARG,https://cdn.sofifa.net/players/236/281/24_360.png,plotly-dash/assets/playersImage/Franco_Negri_Inter_Miami_C.F..png
https://sofifa.com/player/251834/john-tolkin/240002,24.0,J. Tolkin,John Tolkin,New York Red Bulls,Major League Soccer,United States,USA,https://cdn.sofifa.net/players/251/834/24_360.png,plotly-dash/assets/playersImage/John_Tolkin_New_York_Red_Bulls.png
https://sofifa.com/player/234249/sam-surridge/240002,24.0,S. Surridge,Sam Surridge,Nashville SC,Major League Soccer,England,ENG,https://cdn.sofifa.net/players/234/249/24_360.png,plotly-dash/assets/playersImage/Sam_Surridge_Nashville_SC.png
https://sofifa.com/player/247648/kamal-miller/240002,24.0,K. Miller,Kamal Anthony Miller,Inter Miami,Major League Soccer,Canada,CAN,https://cdn.sofifa.net/players/247/648/24_360.png,plotly-dash/assets/playersImage/Kamal_Miller_Montreal_Impact.png
https://sofifa.com/player/247648/kamal-miller/240002,24.0,K. Miller,Kamal Anthony Miller,Inter Miami,Major League Soccer,Canada,CAN,https://cdn.sofifa.net/players/247/648/24_360.png,plotly-dash/assets/playersImage/Kamal_Miller_Inter_Miami_C.F..png
https://sofifa.com/player/219546/jesus-murillo/240002,24.0,J. Murillo,Jesús David Murillo Largacha,LAFC,Major League Soccer,Colombia,COL,https://cdn.sofifa.net/players/219/546/24_360.png,plotly-dash/assets/playersImage/Jesús_David_Murillo_Largacha_LAFC.png
https://sofifa.com/player/202215/joe-willis/240002,24.0,J. Willis,Joe Willis,Nashville SC,Major League Soccer,United States,USA,https://cdn.sofifa.net/players/202/215/24_360.png,plotly-dash/assets/playersImage/Joe_Willis_Nashville_SC.png
https://sofifa.com/player/207593/jere-uronen/240002,24.0,J. Uronen,Jere Juhani Uronen,Charlotte,Major League Soccer,Finland,FIN,https://cdn.sofifa.net/players/207/593/24_360.png,plotly-dash/assets/playersImage/Jere_Uronen_Charlotte_FC.png
https://sofifa.com/player/217047/anibal-godoy/240002,24.0,A. Godoy,Aníbal Cesis Godoy Lemus,Nashville SC,Major League Soccer,Panama,PAN,https://cdn.sofifa.net/players/217/047/24_360.png,plotly-dash/assets/playersImage/Aníbal_Godoy_Nashville_SC.png
https://sofifa.com/player/221488/ryan-hollingshead/240002,24.0,R. Hollingshead,Ryan Hollingshead,LAFC,Major League Soccer,United States,USA,https://cdn.sofifa.net/players/221/488/24_360.png,plotly-dash/assets/playersImage/Ryan_Hollingshead_LAFC.png
https://sofifa.com/player/222123/aaron-long/240002,24.0,A. Long,Aaron Long,LAFC,Major League Soccer,United States,USA,https://cdn.sofifa.net/players/222/123/24_360.png,plotly-dash/assets/playersImage/Aaron_Long_LAFC.png
