player,Team,total_missed_games,total_missed_injured,total_missed_international_duty,total_missed_other,total_missed_suspended
Jalen Neal,LA Galaxy,9,9,0,0,0
Jamal Thiare,Atlanta United,2,1,0,1,0
James Marcinkowski,San Jose Earthquakes,2,2,0,0,0
James Pantemis,CF Montreal,9,9,0,0,0
James Sands,New York City FC,4,3,1,0,0
Jamiro Monteiro,San Jose Earthquakes,3,2,0,0,1
Jaroslaw Niezgoda,Portland Timbers,7,7,0,0,0
Jasper Löffelsend,Real Salt Lake,5,5,0,0,0
Javain Brown,Vancouver Whitecaps,2,0,2,0,0
Javier Casas,Chicago Fire FC,13,13,0,0,0
Jean Mota,Inter Miami,14,14,0,0,0
Jefferson Savarino,Real Salt Lake,3,3,0,0,0
Jeong Sang-Bin,Minnesota United,3,2,1,0,0
Jere Uronen,Charlotte,1,0,1,0,0
Jeremy Ebobisse,San Jose Earthquakes,1,1,0,0,0
Jesús Bueno,Philadelphia Union,4,3,0,0,1
Jesús Ferreira,FC Dallas,2,2,0,0,0
Jesús Jiménez,FC Dallas,5,5,0,0,0
Jesús Murillo,LAFC,8,8,0,0,0
Joakim Nilsson,St. Louis City,19,19,0,0,0
Joel Waterman,CF Montreal,4,3,0,0,1
John Tolkin,New York Red Bulls,2,0,2,0,0
Johnny Russell,Sporting Kansas City,6,5,0,0,1
Jonathan Bond,LA Galaxy,12,12,0,0,0
Jonathan Dean,Chicago Fire FC,3,3,0,0,0
Jonathan Lewis,Colorado Rapids,4,4,0,0,0
Jonathan Osorio,Toronto FC,5,5,0,0,0
Jordan Morris,Seattle Sounders FC,1,0,1,0,0
Jordan Perruzza,Toronto FC,1,1,0,0,0
Jordi Alba,Inter Miami,6,6,0,0,0
Jorge Cabezas,New York Red Bulls,1,1,0,0,0
Josef Martínez,Inter Miami,2,0,2,0,0
Joseph Mora,Charlotte,3,3,0,0,0
Joseph Rosales,Minnesota United,7,6,1,0,0
Josh Williams,Columbus Crew,12,12,0,0,0
Joshua Atencio,Seattle Sounders FC,1,1,0,0,0
José Fajardo,DC United,1,0,1,0,0
José Martínez,FC Dallas,2,2,0,0,0
