game,team,player,game_id,player_id,reason,status
2023-05-07 Nashville SC-Chicago Fire FC,Chicago Fire FC,Justin Reynolds,1701810,471853,injured,Out
2023-05-07 Nashville SC-Chicago Fire FC,Chicago Fire FC,Victor Bezerra,1701810,434642,injured,Out
2023-05-07 Nashville SC-Chicago Fire FC,Nashville SC,Nick DePuy,1701810,334518,injured,Out
2023-05-07 Nashville SC-Chicago Fire FC,Nashville SC,Randall Leal,1701810,393102,injured,Out
2023-05-07 Portland Timbers-Austin FC,Austin FC,Diego Fagundez,1701825,99292,injured doubtful,Doubtful
2023-05-07 Portland Timbers-Austin FC,Austin FC,Zan Kolmanic,1701825,412162,injured,Out
2023-05-07 Portland Timbers-Austin FC,Portland Timbers,David Bingham,1701825,99315,injured,Out
2023-05-07 Portland Timbers-Austin FC,Portland Timbers,Eryk Williamson,1701825,358518,injured,Out
2023-05-07 Portland Timbers-Austin FC,Portland Timbers,Felipe Mora,1701825,393150,injured,Out
2023-05-07 Portland Timbers-Austin FC,Portland Timbers,Sebastián Blanco,1701825,24957,injured,Out
2023-05-07 Portland Timbers-Austin FC,Portland Timbers,Yimmi Chará,1701825,97041,injured,Out
2023-05-07 Portland Timbers-Austin FC,Portland Timbers,Zac McGraw,1701825,396240,suspended,Out
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Seattle Sounders FC,Cristian Roldan,1701828,271592,injured doubtful,Doubtful
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Seattle Sounders FC,Jacob Castro,1701828,468751,injured,Out
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Seattle Sounders FC,Raúl Ruidíaz,1701828,85915,injured,Out
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Sporting Kansas City,Graham Zusi,1701828,72626,injured,Out
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Sporting Kansas City,Kayden Pierre,1701828,419819,injured,Out
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Sporting Kansas City,Kortne Ford,1701828,333995,injured doubtful,Doubtful
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Sporting Kansas City,Nemanja Radoja,1701828,239053,injured,Out
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Sporting Kansas City,Tim Leibold,1701828,140849,injured,Out
2023-05-07 Seattle Sounders FC-Sporting Kansas City,Sporting Kansas City,William Agada,1701828,442600,injured,Out
2023-05-07 Vancouver Whitecaps-Minnesota United,Minnesota United,Bakaye Dibassy,1701875,248278,injured,Out
2023-05-07 Vancouver Whitecaps-Minnesota United,Minnesota United,Mikael Marques,1701875,407883,injured,Out
2023-05-07 Vancouver Whitecaps-Minnesota United,Minnesota United,Ryen Jiba,1701875,471103,injured,Out
2023-05-07 Vancouver Whitecaps-Minnesota United,Vancouver Whitecaps,Sergio Córdova,1701875,344069,injured doubtful,Doubtful
2023-05-13 Atlanta United-Charlotte FC,Atlanta United,Brad Guzan,1701826,28746,injured,Out
2023-05-13 Atlanta United-Charlotte FC,Atlanta United,Osvaldo Alonso,1701826,72567,injured,Out
2023-05-13 Atlanta United-Charlotte FC,Charlotte FC,Bill Tuiloma,1701826,141264,injured,Out
2023-05-13 Atlanta United-Charlotte FC,Charlotte FC,Guzmán Corujo,1701826,433524,injured,Out
2023-05-13 Atlanta United-Charlotte FC,Charlotte FC,Joseph Mora,1701826,354530,injured,Out
2023-05-13 Atlanta United-Charlotte FC,Charlotte FC,Kamil Józwiak,1701826,312752,injured,Out
2023-05-13 Atlanta United-Charlotte FC,Charlotte FC,Pablo Sisniega,1701826,371099,injured,Out
2023-05-13 Chicago Fire FC-St. Louis City,Chicago Fire FC,Justin Reynolds,1701830,471853,injured,Out
2023-05-13 Chicago Fire FC-St. Louis City,Chicago Fire FC,Victor Bezerra,1701830,434642,injured,Out
2023-05-13 Chicago Fire FC-St. Louis City,St. Louis City,Joakim Nilsson,1701830,320565,injured,Out
2023-05-13 Chicago Fire FC-St. Louis City,St. Louis City,Njabulo Blom,1701830,458426,injured,Out
2023-05-13 Columbus Crew-Orlando City,Columbus Crew,Cucho Hernández,1701832,362501,injured,Out
2023-05-13 Columbus Crew-Orlando City,Columbus Crew,Eloy Room,1701832,67114,injured,Out
2023-05-13 Columbus Crew-Orlando City,Columbus Crew,Josh Williams,1701832,99318,injured,Out
2023-05-13 Columbus Crew-Orlando City,Columbus Crew,Kevin Molino,1701832,138492,injured,Out
2023-05-13 Columbus Crew-Orlando City,Columbus Crew,Luis Díaz,1701832,378710,injured,Out
2023-05-13 Columbus Crew-Orlando City,Orlando City,Michael Halliday,1701832,402978,injured,Out
2023-05-13 DC United-Nashville SC,DC United,Brendan Hines-Ike,1701846,320457,injured,Out
2023-05-13 DC United-Nashville SC,DC United,Martín Rodríguez,1701846,101584,injured,Out
2023-05-13 DC United-Nashville SC,DC United,Nigel Robertha,1701846,316933,injured,Out
2023-05-13 DC United-Nashville SC,DC United,Pedro Santos,1701846,121356,injured,Out
2023-05-13 DC United-Nashville SC,DC United,Steven Birnbaum,1701846,143470,injured,Out
2023-05-13 DC United-Nashville SC,Nashville SC,Nick DePuy,1701846,334518,injured,Out
2023-05-13 DC United-Nashville SC,Nashville SC,Randall Leal,1701846,393102,injured,Out
2023-05-13 Inter Miami CF-New England Revolution,Inter Miami CF,Edison Azcona,1701848,413765,injured,Out
2023-05-13 Inter Miami CF-New England Revolution,Inter Miami CF,Gregore,1701848,355710,injured,Out
2023-05-13 Inter Miami CF-New England Revolution,Inter Miami CF,Ian Fray,1701848,445274,injured,Out
2023-05-13 Inter Miami CF-New England Revolution,Inter Miami CF,Leonardo Campana,1701848,392650,injured,Out
2023-05-13 Inter Miami CF-New England Revolution,Inter Miami CF,Noah Allen,1701848,433513,injured,Out
2023-05-13 Inter Miami CF-New England Revolution,Inter Miami CF,Robbie Robinson,1701848,393147,injured,Out
2023-05-13 Inter Miami CF-New England Revolution,New England Revolution,Jacob Jackson,1701848,433537,injured,Out
